,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,346,1,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,78.90 %,1,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,344,2,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,84.01 %,2,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,347,3,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.84 %,3,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,4,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,85.92 %,4,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,346,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,82.08 %,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.61 %,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.32 %,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,344,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.98 %,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,349,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,82.52 %,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,Votos Comando Electoral:,1,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,349,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,85.67 %,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,349,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,80.52 %,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,83.91 %,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,347,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,84.44 %,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.90 %,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,82.47 %,15,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,350,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,82.00 %,16,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,349,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,81.66 %,17,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,348,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,Votantes :,86.49 %,18,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,Total Inscriptos :,347,19,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
