,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,348,1,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,72.13 %,1,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,2,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.29 %,2,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,346,3,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.61 %,3,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,356,4,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.09 %,4,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,5,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.57 %,5,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,6,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.71 %,6,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,7,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,70.37 %,7,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,8,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,73.14 %,8,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,9,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.36 %,9,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,10,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.74 %,10,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,11,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,72.36 %,11,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,12,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,77.14 %,12,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,13,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,81.03 %,13,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,14,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,79.02 %,14,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,355,15,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.03 %,15,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,16,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,76.29 %,16,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,17,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.00 %,17,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,18,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,79.60 %,18,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,19,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,77.87 %,19,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,20,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,81.32 %,20,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,352,21,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,80.97 %,21,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,22,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.36 %,22,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,354,23,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,79.38 %,23,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,24,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,73.93 %,24,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,25,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,77.94 %,25,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,26,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,77.49 %,26,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,27,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,73.64 %,27,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,28,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.57 %,28,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,352,29,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,80.40 %,29,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,30,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,74.29 %,30,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,31,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,71.35 %,31,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,32,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,83.67 %,32,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,33,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.51 %,33,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,34,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,79.49 %,34,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,356,35,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.93 %,35,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,36,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,76.92 %,36,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,37,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,76.86 %,37,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,347,38,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.10 %,38,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,39,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.00 %,39,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,354,40,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.14 %,40,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,349,41,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,75.36 %,41,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,350,42,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,78.00 %,42,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,348,43,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,74.14 %,43,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,351,44,ELECCIONES GENERALES 14/11/2021,638
1,Votantes :,77.21 %,44,ELECCIONES GENERALES 14/11/2021,638
0,Total Inscriptos :,347,45,ELECCIONES GENERALES 14/11/2021,638
