,0,1,mesa,eleciones,circuito
1,Votantes :,79.71 %,42,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,43,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.14 %,43,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,44,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.43 %,44,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,45,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.57 %,45,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,46,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.57 %,46,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,47,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.14 %,47,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,48,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.43 %,48,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,49,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,84.57 %,49,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,50,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.20 %,50,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,51,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.71 %,51,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,52,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.00 %,52,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,53,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.43 %,53,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,54,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.48 %,54,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,55,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,76.29 %,55,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,56,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,56,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,57,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.71 %,57,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,58,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,76.86 %,58,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,59,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.92 %,59,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,60,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.86 %,60,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,61,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,77.14 %,61,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,62,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,76.29 %,62,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,63,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.29 %,63,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,64,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,80.57 %,64,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,65,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,82.62 %,65,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,351,66,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,84.05 %,66,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,67,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,78.57 %,67,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,68,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,77.14 %,68,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,69,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,79.14 %,69,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,70,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,74.57 %,70,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,71,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,81.14 %,71,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,278,72,ELECCIONES GENERALES 22/10/2017,638
1,Votantes :,84.17 %,72,ELECCIONES GENERALES 22/10/2017,638
0,Total Inscriptos :,350,73,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,80.00 %,73,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,74,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,84.00 %,74,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,352,75,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,79.55 %,75,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,76,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,81.14 %,76,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,77,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,83.43 %,77,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,78,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,80.29 %,78,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,79,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,80.57 %,79,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,351,80,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,81.48 %,80,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,81,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,77.71 %,81,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,351,82,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,79.20 %,82,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,83,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,78.86 %,83,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,84,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,78.86 %,84,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,85,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,78.00 %,85,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,86,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,77.71 %,86,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,87,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,78.86 %,87,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,345,88,ELECCIONES GENERALES 22/10/2017,639
1,Votantes :,78.26 %,88,ELECCIONES GENERALES 22/10/2017,639
0,Total Inscriptos :,350,89,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,81.43 %,89,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,90,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,78.86 %,90,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,91,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,78.92 %,91,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,92,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,85.19 %,92,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,93,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,86.29 %,93,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,94,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,80.00 %,94,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,95,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,84.29 %,95,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,96,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,80.57 %,96,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,97,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.77 %,97,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,98,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.20 %,98,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,99,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,81.20 %,99,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,100,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,82.29 %,100,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,101,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,80.29 %,101,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,102,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,79.71 %,102,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,103,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,80.29 %,103,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,351,104,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,77.49 %,104,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,105,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,84.86 %,105,ELECCIONES GENERALES 22/10/2017,640
0,Total Inscriptos :,350,106,ELECCIONES GENERALES 22/10/2017,640
1,Votantes :,82.29 %,106,ELECCIONES GENERALES 22/10/2017,640
