,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,347,1,ELECCIONES PASO 11/08/2019,638
1,Votantes :,71.47 %,1,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,345,2,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.58 %,2,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,3,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.02 %,3,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,4,ELECCIONES PASO 11/08/2019,638
1,Votantes :,83.67 %,4,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,5,ELECCIONES PASO 11/08/2019,638
1,Votantes :,75.79 %,5,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,6,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.08 %,6,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,7,ELECCIONES PASO 11/08/2019,638
1,Votantes :,75.57 %,7,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,8,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.23 %,8,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,9,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.43 %,9,ELECCIONES PASO 11/08/2019,638
2,Votos Comando Electoral:,3,9,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,10,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.17 %,10,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,11,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.22 %,11,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,12,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.03 %,12,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,13,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.40 %,13,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,14,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.66 %,14,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,15,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.52 %,15,ELECCIONES PASO 11/08/2019,638
2,Votos Comando Electoral:,1,15,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,16,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.02 %,16,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,17,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.87 %,17,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,18,ELECCIONES PASO 11/08/2019,638
1,Votantes :,82.23 %,18,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,19,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.94 %,19,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,20,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.23 %,20,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,21,ELECCIONES PASO 11/08/2019,638
1,Votantes :,86.25 %,21,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,22,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.50 %,22,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,23,ELECCIONES PASO 11/08/2019,638
1,Votantes :,83.05 %,23,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,344,24,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.03 %,24,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,25,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.08 %,25,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,26,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.96 %,26,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,27,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.80 %,27,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,28,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.25 %,28,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,29,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.89 %,29,ELECCIONES PASO 11/08/2019,638
2,Votos Comando Electoral:,1,29,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,30,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.29 %,30,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,31,ELECCIONES PASO 11/08/2019,638
1,Votantes :,76.79 %,31,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,32,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.01 %,32,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,33,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.21 %,33,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,34,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.80 %,34,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,35,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.86 %,35,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,36,ELECCIONES PASO 11/08/2019,638
1,Votantes :,84.00 %,36,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,37,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.14 %,37,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,38,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.29 %,38,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,39,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.19 %,39,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,40,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.83 %,40,ELECCIONES PASO 11/08/2019,638
2,Votos Comando Electoral:,1,40,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,41,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.06 %,41,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,42,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.22 %,42,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,43,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.21 %,43,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,346,44,ELECCIONES PASO 11/08/2019,638
1,Votantes :,77.46 %,44,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,348,45,ELECCIONES PASO 11/08/2019,638
1,Votantes :,79.02 %,45,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,351,46,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.48 %,46,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,47,ELECCIONES PASO 11/08/2019,638
1,Votantes :,80.86 %,47,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,349,48,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.66 %,48,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,347,49,ELECCIONES PASO 11/08/2019,638
1,Votantes :,81.84 %,49,ELECCIONES PASO 11/08/2019,638
0,Total Inscriptos :,350,50,ELECCIONES PASO 11/08/2019,638
1,Votantes :,78.00 %,50,ELECCIONES PASO 11/08/2019,638
