,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,45,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.43 %,45,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,46,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.29 %,46,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,47,ELECCIONES PASO 13/08/2017,638
1,Votantes :,78.00 %,47,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,48,ELECCIONES PASO 13/08/2017,638
1,Votantes :,78.57 %,48,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,49,ELECCIONES PASO 13/08/2017,638
1,Votantes :,81.14 %,49,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,50,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.21 %,50,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,51,ELECCIONES PASO 13/08/2017,638
1,Votantes :,79.14 %,51,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,52,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.14 %,52,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,53,ELECCIONES PASO 13/08/2017,638
1,Votantes :,80.29 %,53,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,54,ELECCIONES PASO 13/08/2017,638
1,Votantes :,82.34 %,54,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,55,ELECCIONES PASO 13/08/2017,638
1,Votantes :,74.86 %,55,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,56,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.57 %,56,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,57,ELECCIONES PASO 13/08/2017,638
1,Votantes :,76.86 %,57,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,350,58,ELECCIONES PASO 13/08/2017,638
1,Votantes :,75.71 %,58,ELECCIONES PASO 13/08/2017,638
0,Total Inscriptos :,351,59,ELECCIONES PASO 13/08/2017,638
1,Votantes :,77.78 %,59,ELECCIONES PASO 13/08/2017,638
