,0,1,mesa,eleciones,circuito
0,Total Inscriptos :,350,42,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.43 %,42,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,43,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.09 %,43,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,348,44,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.91 %,44,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,45,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.09 %,45,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,348,46,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,80.75 %,46,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,47,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.53 %,47,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,48,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.86 %,48,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,49,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.14 %,49,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,50,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.57 %,50,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,51,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,79.14 %,51,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,52,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.81 %,52,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,53,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.23 %,53,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,351,54,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.05 %,54,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,55,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,85.39 %,55,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,348,56,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,79.89 %,56,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,57,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,80.23 %,57,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,58,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.57 %,58,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,347,59,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,79.54 %,59,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,60,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.00 %,60,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,61,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.66 %,61,ELECCIONES GENERALES 25/10/2015,638
2,Votos Comando Electoral:,1,61,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,62,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,81.38 %,62,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,63,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,80.00 %,63,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,64,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.00 %,64,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,349,65,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.81 %,65,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,66,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.14 %,66,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,351,67,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.62 %,67,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,68,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,84.57 %,68,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,351,69,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.62 %,69,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,70,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.00 %,70,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,71,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,78.86 %,71,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,72,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,83.43 %,72,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,73,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,82.57 %,73,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,107,74,ELECCIONES GENERALES 25/10/2015,638
1,Votantes :,85.05 %,74,ELECCIONES GENERALES 25/10/2015,638
0,Total Inscriptos :,350,75,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.29 %,75,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,76,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,84.86 %,76,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,77,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.29 %,77,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,78,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,87.43 %,78,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,79,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.29 %,79,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,80,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.86 %,80,ELECCIONES GENERALES 25/10/2015,639
2,Votos Comando Electoral:,1,80,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,349,81,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.82 %,81,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,350,82,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,84.29 %,82,ELECCIONES GENERALES 25/10/2015,639
0,Total Inscriptos :,349,83,ELECCIONES GENERALES 25/10/2015,639
1,Votantes :,86.53 %,83,ELECCIONES GENERALES 25/10/2015,639
