circuito,mesa,diputados_y_senadores_paso_2021
638,1,0.5594713656387665
638,2,0.6013986013986014
638,4,0.49049429657794674
638,10,0.5040322580645161
638,11,0.5166666666666667
638,12,0.5413223140495868
638,13,0.5843137254901961
638,14,0.570281124497992
638,15,0.5674603174603174
638,16,0.6666666666666666
638,17,0.5210084033613446
638,18,0.5277777777777778
638,19,0.5992217898832685
638,20,0.5378787878787878
638,21,0.5877862595419847
638,24,0.614406779661017
638,25,0.5588235294117647
638,26,0.5222672064777328
638,27,0.5796460176991151
638,28,0.5593869731800766
638,29,0.5877862595419847
638,36,0.5407725321888412
638,37,0.4777327935222672
638,38,0.5458333333333333
638,39,0.5175438596491229
638,40,0.5555555555555556
638,41,0.5934959349593496
638,42,0.573170731707317
638,43,0.4892703862660944
638,44,0.5101214574898786
638,45,0.5450819672131147
638,46,0.5531914893617021
638,47,0.6
638,48,0.5296442687747036
638,49,0.5358649789029536
638,50,0.5425101214574899
638,52,0.569672131147541
638,53,0.5637065637065637
638,54,0.47478991596638653
638,30,0.5555555555555556
638,31,0.5689655172413793
638,32,0.5568627450980392
638,33,0.5732217573221757
638,34,0.4743083003952569
638,35,0.5487804878048781
638,55,0.5393700787401575
638,56,0.5241935483870968
638,57,0.4741379310344827
638,58,0.5441860465116279
638,59,0.6254681647940075
638,60,0.4730290456431535
638,61,0.5677966101694916
638,62,0.5769230769230769
638,63,0.5120967741935484
638,64,0.5041322314049587
638,65,0.5588235294117647
638,22,0.5282258064516129
638,23,0.578544061302682
639,89,0.36283185840707965
639,90,0.3691275167785235
640,97,0.4349593495934959
640,98,0.4556962025316456
640,99,0.4901185770750988
640,100,0.44398340248962653
640,101,0.44308943089430897
640,102,0.502283105022831
640,103,0.42105263157894735
640,104,0.4918032786885246
640,105,0.37383177570093457
640,106,0.5145228215767634
640,107,0.5
640,108,0.43859649122807015
640,109,0.4782608695652174
640,110,0.4225941422594142
640,111,0.466403162055336
640,112,0.4488888888888889
640,113,0.5708502024291497
640,114,0.44493392070484583
640,115,0.4773662551440329
642,150,0.4066390041493776
642,151,0.4692982456140351
642,152,0.4835680751173709
642,142,0.4541484716157206
642,143,0.4260869565217391
642,144,0.4092827004219409
642,145,0.5427350427350427
642,146,0.4895397489539749
642,147,0.4495798319327731
644,160,0.44651162790697674
644,161,0.47717842323651455
646,164,0.5649717514124294
648,166,0.3796296296296297
642,126,0.6179775280898876
642,127,0.41796875
642,128,0.5083333333333333
642,129,0.5286885245901639
642,130,0.4229249011857707
642,131,0.4279835390946502
642,132,0.4244897959183674
642,133,0.4956140350877193
639,84,0.3789954337899543
639,85,0.3615023474178404
639,86,0.35909090909090907
639,87,0.40350877192982454
639,88,0.40358744394618834
639,71,0.3317757009345794
639,72,0.44036697247706424
639,73,0.38181818181818183
639,74,0.3675213675213675
639,75,0.31746031746031744
639,76,0.425531914893617
641,118,0.4774774774774775
641,119,0.5132743362831859
641,120,0.47844827586206895
641,121,0.44075829383886256
641,122,0.5158371040723982
638,5,0.5573122529644269
638,6,0.6094420600858369
638,7,0.5135135135135135
638,8,0.5238095238095238
638,9,0.5211864406779662
642,134,0.4449152542372881
642,135,0.4959016393442623
642,136,0.5020576131687243
642,137,0.47577092511013214
642,138,0.4980392156862745
642,139,0.43243243243243246
643,153,0.35944700460829493
643,154,0.35545023696682465
643,155,0.33031674208144796
643,156,0.30327868852459017
643,157,0.3598326359832636
643,158,0.27927927927927926
639,77,0.3796296296296297
639,78,0.42592592592592593
639,79,0.35526315789473684
639,80,0.4317180616740088
639,81,0.3177570093457944
639,82,0.39631336405529954
639,83,0.3876651982378855
640,91,0.44155844155844154
640,92,0.4899598393574297
640,93,0.47161572052401746
640,95,0.4534412955465587
640,96,0.4298642533936652
638,66,0.5217391304347826
638,67,0.5220883534136547
638,68,0.5454545454545454
638,69,0.5531914893617021
638,70,0.5727272727272728
642,148,0.4678111587982833
642,149,0.4268292682926829
640,116,0.49130434782608695
641,123,0.5082644628099173
641,124,0.4780701754385965
641,125,0.4015151515151515
642,140,0.4978902953586498
642,141,0.43103448275862066
