,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
5,,VOTOS NULOS,0.0,0,0,0.0,22,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,22,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,22,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,19.0,15,20,20.0,22,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,293.0,293,293,293.0,22,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,7,8,5.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,160.0,162,159,127.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,117.0,117,117,153.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,9.0,8,8,7.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,10.0,9,11,11.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,303.0,303,303,303.0,23,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,3,,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,6,8,3.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,169.0,177,175,135.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,78.0,77,76,124.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,18.0,14,16,14.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,1.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,10.0,7,6,8.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,285.0,285,285,285.0,24,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,6,7,3.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,164.0,169,162,119.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,88.0,91,89,148.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,12.0,11,11,7.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,5.0,5,5,5.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,19.0,12,20,13.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,295.0,295,295,295.0,25,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,1,,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,6,6,5.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,165.0,169,167,116.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,88.0,87,88,140.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,15.0,11,11,11.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,2.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,9,9,10.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,26,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,3,,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,3,4,3.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,163.0,167,162,126.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,93.0,97,94,143.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,14.0,13,13,11.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,4.0,4,4,4.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,14.0,8,14,7.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,294.0,294,294,294.0,27,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,4,,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,7.0,5,7,3.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,163.0,170,162,130.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,88.0,91,89,128.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,23.0,15,19,18.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,0,0,1.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,8,9,10.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,291.0,291,291,291.0,28,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,4,,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,9,9,6.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,157.0,161,152,122.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,95.0,95,97,138.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,7.0,6,6,7.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,2.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,14.0,9,14,9.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,29,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,5,4.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,174.0,183,178,144.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,98.0,94,95,137.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,12.0,8,9,5.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,2.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,10.0,9,12,9.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,301.0,301,301,301.0,30,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,8,9,6.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,146.0,154,145,101.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,96.0,98,101,150.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,21.0,14,16,10.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,3.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,11.0,8,11,14.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,31,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,2,,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,11.0,8,8,1.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,137.0,148,140,100.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,94.0,98,100,147.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,25.0,19,21,17.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,13.0,5,9,15.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,280.0,280,280,280.0,32,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,4,,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,7,8,8.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,149.0,152,145,117.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,99.0,99,102,139.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,19.0,18,15,9.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,9.0,6,11,12.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,285.0,285,285,285.0,33,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,1,,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,2,2,2.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,174.0,177,171,129.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,94.0,97,99,141.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,8.0,6,2,3.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,7.0,6,13,13.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,288.0,288,288,288.0,34,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,6,9,4.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,159.0,164,159,128.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,98.0,101,100,139.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,12.0,9,10,5.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,3,2,3.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,11.0,8,11,12.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,291.0,291,291,291.0,35,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,3,,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,7,7,3.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,159.0,164,159,125.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,88.0,97,91,142.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,24.0,17,20,13.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,4.0,4,4,4.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,16.0,9,17,14.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,301.0,301,301,301.0,36,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,1,,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,3.0,1,1,1.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,156.0,164,155,112.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,99.0,99,104,151.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,18.0,13,13,10.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,14.0,11,16,16.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,290.0,290,290,290.0,37,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,2,,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,20.0,15,19,11.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,132.0,136,132,106.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,104.0,111,109,149.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,20.0,16,15,13.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,3,2,2.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,9.0,5,8,6.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,287.0,287,287,287.0,38,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,9.0,7,8,7.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,158.0,164,158,119.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,100.0,101,101,140.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,11.0,6,9,6.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,7,9,14.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,286.0,286,286,286.0,39,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,4.0,4,4,4.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,155.0,162,152,115.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,94.0,95,102,151.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,25.0,14,16,15.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,1.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,13.0,15,16,6.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,292.0,292,292,292.0,40,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,4,5,2.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,147.0,150,148,109.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,92.0,94,92,144.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,20.0,18,17,15.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,2.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,12.0,10,14,6.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,278.0,278,278,278.0,41,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,5,6,3.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,169.0,171,164,120.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,90.0,90,94,148.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,13.0,12,11,8.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,1.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,1,0.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,12.0,10,12,9.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,289.0,289,289,289.0,42,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,3,,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,6,4.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,148.0,153,150,122.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,105.0,105,105,137.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,14.0,11,9,9.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,3.0,3,3,3.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,11.0,7,11,12.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,287.0,287,287,287.0,43,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,12.0,6,7,6.0,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,140.0,143,136,102.0,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,96.0,101,101,148.0,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,14.0,14,14,11.0,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,44,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
