,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
2,135,JUNTOS POR EL CAMBIO,154.0,158,153,110.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,88.0,88,88,136.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,17.0,16,16,21.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,18.0,15,19,11.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,5,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,2,2,,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,6,9,5.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,160.0,166,158,121.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,82.0,83,85,130.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,20.0,16,16,15.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,5.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,12.0,9,12,8.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,284.0,284,284,284.0,6,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,13.0,10,13,13.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,150.0,153,150,113.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,87.0,88,87,128.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,17.0,16,16,15.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,6.0,6,6,6.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,2.0,2,2,2.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,7,8,6.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,283.0,283,283,283.0,7,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,6.0,5,7,5.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,147.0,153,148,112.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,105.0,103,105,145.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,15.0,11,12,10.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,3.0,3,3,3.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,6.0,6,6,7.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,282.0,282,282,282.0,8,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,2,,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,8.0,6,8,5.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,168.0,172,169,140.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,82.0,82,81,115.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,21.0,19,20,14.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,3,2,3.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,6.0,4,5,10.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,287.0,287,287,287.0,9,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,3,3,,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,10,12,9.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,152.0,153,151,114.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,107.0,111,111,154.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,19.0,14,14,9.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,2,1,2.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,10.0,6,7,11.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,299.0,299,299,299.0,10,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,1,1,,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,12.0,10,11,11.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,139.0,144,139,113.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,99.0,100,100,133.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,14.0,11,12,10.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,3.0,3,3,3.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,14.0,12,15,11.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,281.0,281,281,281.0,11,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,4,4,,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,5.0,3,3,0.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,157.0,160,155,128.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,94.0,94,95,146.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,19.0,17,17,11.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,1.0,1,1,1.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,15.0,12,16,5.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,292.0,292,292,292.0,12,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,0,0,,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,6,9,5.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,164.0,172,162,137.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,90.0,96,95,132.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,19.0,14,15,11.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,0.0,0,0,0.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,2.0,2,2,2.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,0.0,0,0,0.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,8.0,3,10,6.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
9,,TOTALES,293.0,293,293,293.0,13,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
0,131/1911,FRENTE NOS,,7,7,,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
1,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,10.0,7,10,5.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
2,135,JUNTOS POR EL CAMBIO,165.0,169,165,119.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
3,136/503,FRENTE DE TODOS,80.0,83,82,134.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
4,137,CONSENSO FEDERAL,15.0,10,10,11.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
5,,VOTOS NULOS,2.0,2,2,2.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
6,,VOTOS RECURRIDOS,0.0,0,0,0.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
7,,VOTOS IMPUGNADOS,1.0,1,1,1.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
8,,VOTOS EN BLANCO,12.0,6,8,13.0,14,ELECCIONES GENERALES - PROVINCIALES 27/10/2019,638
