,NRO,AGRUPACION POLITICA,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
10,,VOTOS EN BLANCO,5.0,8.0,5.0,21,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,285.0,285.0,285.0,21,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,22,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,22,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,18.0,18.0,17.0,22,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,10.0,10.0,9.0,22,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,125.0,125.0,111.0,22,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,92.0,92.0,111.0,22,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,9.0,9.0,7.0,22,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,22,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,22,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,22,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,7.0,7.0,8.0,22,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,263.0,263.0,263.0,22,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,5.0,,,23,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,5.0,,23,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,21.0,20.0,22.0,23,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,8.0,7.0,8.0,23,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,148.0,148.0,135.0,23,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,85.0,86.0,101.0,23,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,6.0,6.0,23,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,1.0,23,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,23,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,23,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,7.0,8.0,23,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,281.0,281.0,281.0,23,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,1.0,,,24,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,1.0,,24,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,5.0,5.0,5.0,24,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,9.0,7.0,24,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,154.0,152.0,143.0,24,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,70.0,72.0,86.0,24,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,7.0,4.0,24,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,3.0,24,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,24,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,24,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,7.0,10.0,10.0,24,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,258.0,258.0,258.0,24,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,25,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,25,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,24.0,22.0,19.0,25,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,15.0,13.0,25,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,146.0,147.0,138.0,25,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,71.0,71.0,87.0,25,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,9.0,7.0,6.0,25,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,4.0,4.0,4.0,25,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,25,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,25,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,1.0,4.0,5.0,25,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,272.0,272.0,272.0,25,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,6.0,,,26,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,6.0,,26,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,29.0,29.0,28.0,26,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,15.0,12.0,26,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,141.0,141.0,135.0,26,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,69.0,69.0,88.0,26,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,8.0,6.0,26,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,3.0,3.0,3.0,26,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,26,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,26,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,1.0,1.0,0.0,26,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,272.0,272.0,272.0,26,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,5.0,,,27,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,6.0,,27,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,19.0,18.0,18.0,27,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,13.0,13.0,13.0,27,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,142.0,138.0,125.0,27,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,64.0,66.0,82.0,27,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,6.0,8.0,27,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,5.0,5.0,5.0,27,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,27,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,27,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,3.0,5.0,6.0,27,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,257.0,257.0,257.0,27,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,5.0,,,28,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,28,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,29.0,29.0,28.0,28,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,17.0,17.0,17.0,28,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,148.0,152.0,144.0,28,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,61.0,61.0,70.0,28,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,5.0,6.0,28,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,1.0,1.0,1.0,28,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,28,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,28,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,8.0,8.0,9.0,28,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,275.0,275.0,275.0,28,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,29,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,29,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,24.0,22.0,18.0,29,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,10.0,9.0,29,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,159.0,161.0,151.0,29,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,75.0,77.0,95.0,29,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,5.0,4.0,4.0,29,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,4.0,3.0,3.0,29,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,29,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,29,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,2.0,4.0,3.0,29,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,283.0,283.0,283.0,29,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,30,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,30,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,26.0,24.0,22.0,30,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,11.0,11.0,30,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,136.0,136.0,125.0,30,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,67.0,67.0,82.0,30,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,9.0,9.0,7.0,30,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,4.0,3.0,3.0,30,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,30,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,30,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,7.0,10.0,30,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,260.0,260.0,260.0,30,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,31,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,31,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,20.0,19.0,19.0,31,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,11.0,12.0,31,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,138.0,135.0,122.0,31,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,69.0,72.0,85.0,31,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,7.0,7.0,31,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,31,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,31,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,31,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,1.0,2.0,4.0,31,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,249.0,249.0,249.0,31,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,6.0,,,32,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,6.0,,32,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,22.0,21.0,21.0,32,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,15.0,16.0,14.0,32,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,159.0,160.0,144.0,32,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,74.0,73.0,95.0,32,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,6.0,6.0,32,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,1.0,1.0,0.0,32,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,32,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,32,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,7.0,9.0,12.0,32,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,292.0,292.0,292.0,32,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,4.0,,,33,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,4.0,,33,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,26.0,24.0,25.0,33,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,10.0,9.0,33,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,153.0,156.0,143.0,33,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,70.0,70.0,84.0,33,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,7.0,8.0,33,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,33,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,33,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,33,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,4.0,3.0,5.0,33,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,274.0,274.0,274.0,33,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,34,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,34,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,22.0,19.0,15.0,34,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,11.0,10.0,8.0,34,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,136.0,136.0,132.0,34,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,91.0,91.0,109.0,34,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,8.0,8.0,6.0,34,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,4.0,5.0,4.0,34,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,34,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,34,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,4.0,7.0,5.0,34,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,279.0,279.0,279.0,34,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,35,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,35,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,22.0,22.0,21.0,35,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,18.0,16.0,14.0,35,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,149.0,150.0,139.0,35,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,72.0,73.0,94.0,35,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,6.0,5.0,4.0,35,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,5.0,5.0,5.0,35,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,35,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,35,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,7.0,4.0,35,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,281.0,281.0,281.0,35,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,36,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,36,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,25.0,23.0,21.0,36,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,16.0,16.0,14.0,36,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,145.0,144.0,126.0,36,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,66.0,66.0,94.0,36,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,10.0,10.0,7.0,36,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,3.0,36,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,36,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,36,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,4.0,7.0,5.0,36,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,270.0,270.0,270.0,36,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,0.0,,,37,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,0.0,,37,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,24.0,23.0,19.0,37,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,9.0,8.0,37,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,125.0,124.0,111.0,37,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,86.0,87.0,110.0,37,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,15.0,14.0,15.0,37,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,3.0,3.0,3.0,37,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,37,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,37,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,7.0,9.0,3.0,37,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,269.0,269.0,269.0,37,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,7.0,,,38,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,7.0,,38,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,22.0,22.0,23.0,38,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,21.0,20.0,19.0,38,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,127.0,129.0,119.0,38,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,82.0,83.0,94.0,38,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,6.0,6.0,38,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,38,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,38,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,38,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,4.0,10.0,38,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,271.0,271.0,271.0,38,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,2.0,,,39,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,2.0,,39,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,18.0,17.0,12.0,39,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,7.0,6.0,5.0,39,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,135.0,135.0,128.0,39,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,79.0,81.0,96.0,39,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,12.0,12.0,11.0,39,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,39,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,39,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,39,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,6.0,6.0,7.0,39,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,261.0,261.0,261.0,39,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,40,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,40,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,23.0,23.0,21.0,40,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,14.0,15.0,13.0,40,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,144.0,144.0,134.0,40,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,70.0,69.0,85.0,40,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,7.0,7.0,4.0,40,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,0.0,0.0,0.0,40,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,40,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,40,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,5.0,9.0,40,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,266.0,266.0,266.0,40,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,3.0,,,41,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,3.0,,41,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,23.0,22.0,19.0,41,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,9.0,9.0,8.0,41,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,154.0,155.0,141.0,41,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,57.0,57.0,78.0,41,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,11.0,10.0,8.0,41,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,2.0,2.0,2.0,41,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,1.0,1.0,1.0,41,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,41,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,3.0,4.0,6.0,41,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,263.0,263.0,263.0,41,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,8.0,,,42,ELECCIONES GENERALES 14/11/2021,638
1,27.0,PARTIDO UNION CELESTE Y BLANCO,,8.0,,42,ELECCIONES GENERALES 14/11/2021,638
2,503.0,AZA.AVANZA LIBERTAD,12.0,10.0,8.0,42,ELECCIONES GENERALES 14/11/2021,638
3,504.0,FTE. DE IZQUIERDA Y DE TRAB.-UNIDAD,12.0,12.0,10.0,42,ELECCIONES GENERALES 14/11/2021,638
4,506.0,AZA.JUNTOS,154.0,154.0,146.0,42,ELECCIONES GENERALES 14/11/2021,638
5,507.0,FRENTE DE TODOS,74.0,74.0,92.0,42,ELECCIONES GENERALES 14/11/2021,638
6,508.0,FRENTE VAMOS CON VOS,5.0,4.0,3.0,42,ELECCIONES GENERALES 14/11/2021,638
7,,VOTOS NULOS,3.0,3.0,3.0,42,ELECCIONES GENERALES 14/11/2021,638
8,,VOTOS RECURRIDOS,0.0,0.0,0.0,42,ELECCIONES GENERALES 14/11/2021,638
9,,VOTOS IMPUGNADOS,0.0,0.0,0.0,42,ELECCIONES GENERALES 14/11/2021,638
10,,VOTOS EN BLANCO,5.0,8.0,11.0,42,ELECCIONES GENERALES 14/11/2021,638
11,,TOTALES,273.0,273.0,273.0,42,ELECCIONES GENERALES 14/11/2021,638
0,501.0,AZA.+ VALORES,5.0,,,43,ELECCIONES GENERALES 14/11/2021,638
