,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,1,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,1,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,1,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,1,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,1,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,1,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,1,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,1,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,1,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,1,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,1,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,1,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,1,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,1.0,1.0,0.0,0.0,1.0,1,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,6.0,6.0,6.0,6.0,6.0,1,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,1,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,6.0,20.0,13.0,17.0,13.0,1,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,248.0,248.0,248.0,248.0,248.0,1,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,2,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,2,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,2,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,2,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,2,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,2,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,2,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,0.0,,,,,2,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,2,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,2,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,2,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,2,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,2,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,0.0,,0.0,,2,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,2,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,2,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,7.0,,,,,2,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,7.0,,,,,2,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,2,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,1.0,2,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,1.0,2,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,2,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,5.0,,,,,2,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,6.0,6.0,,2,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,5.0,,6.0,6.0,,2,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,2,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,1.0,,,,,2,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,2.0,,,,2,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,1.0,1.0,,2,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,1.0,2.0,1.0,1.0,,2,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,2,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,17.0,17.0,15.0,15.0,13.0,2,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,17.0,17.0,15.0,15.0,13.0,2,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,2,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,128.0,129.0,,,,2,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,135.0,127.0,92.0,2,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,128.0,129.0,135.0,127.0,92.0,2,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,2,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,86.0,85.0,,,,2,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,86.0,85.0,133.0,2,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,86.0,85.0,86.0,85.0,133.0,2,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,2,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,26.0,18.0,,,,2,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,16.0,17.0,23.0,2,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,26.0,18.0,16.0,17.0,23.0,2,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,2,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,1.0,,,,2,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,1.0,,,,2,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,2,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,2,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,2,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,2,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,2,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,2,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,2,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,2,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,2,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,2,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,2,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,2,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,2,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,0.0,1.0,1.0,1.0,1.0,2,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,2,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,2,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,6.0,24.0,17.0,25.0,15.0,2,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,278.0,278.0,278.0,278.0,278.0,2,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,3,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,3,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,0.0,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,0.0,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,3,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,3,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,3,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,0.0,,0.0,,3,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,3,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,3,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,4.0,,,,,3,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,4.0,,,,,3,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,3,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,1.0,1.0,1.0,1.0,3,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,1.0,1.0,1.0,1.0,3,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,3,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,1.0,,,,,3,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,1.0,1.0,,3,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,1.0,,1.0,1.0,,3,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,3,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,3,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,1.0,,,,3,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,0.0,1.0,0.0,0.0,,3,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,3,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,13.0,14.0,13.0,13.0,9.0,3,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,13.0,14.0,13.0,13.0,9.0,3,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,3,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,125.0,127.0,,,,3,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,136.0,126.0,98.0,3,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,125.0,127.0,136.0,126.0,98.0,3,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,3,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,105.0,103.0,,,,3,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,103.0,105.0,143.0,3,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,105.0,103.0,103.0,105.0,143.0,3,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,3,ELECCIONES PASO 11/08/2019,638
