,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,DIPUTADO NACIONAL,GOBERNADOR PROVINCIAL,DIPUTADO PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
41,137,CONSENSO FEDERAL,,,,,,50,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,19.0,19.0,,,,50,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,14.0,15.0,8.0,50,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,19.0,19.0,14.0,15.0,8.0,50,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,50,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,0.0,,,,50,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,50,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,50,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,50,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,50,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,50,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,1.0,,,,50,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,1.0,1.0,,50,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,1.0,1.0,1.0,,50,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,50,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,1.0,,,,50,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,1.0,,,,50,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,50,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,50,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,50,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,1.0,1.0,1.0,1.0,1.0,50,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,50,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,50,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,8.0,13.0,10.0,16.0,17.0,50,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,273.0,273.0,273.0,273.0,273.0,50,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,51,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,2.0,,,,,51,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,2.0,,,,,51,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,51,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,2.0,2.0,2.0,,51,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,2.0,2.0,2.0,,51,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,51,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,0.0,,,,,51,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,51,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,51,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,51,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,51,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,51,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,1.0,,1.0,,51,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,1.0,,1.0,,51,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,51,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,2.0,,,,,51,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,2.0,,,,,51,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,51,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,51,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,51,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,51,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,2.0,,,,,51,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,1.0,3.0,,51,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,2.0,,1.0,3.0,,51,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,51,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,51,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,2.0,,,,51,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,0.0,0.0,,51,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,0.0,2.0,0.0,0.0,,51,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,51,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,12.0,12.0,12.0,12.0,9.0,51,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,12.0,12.0,12.0,12.0,9.0,51,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,51,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,121.0,122.0,,,,51,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,128.0,127.0,90.0,51,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,121.0,122.0,128.0,127.0,90.0,51,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,51,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,93.0,96.0,,,,51,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,97.0,98.0,155.0,51,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,93.0,96.0,97.0,98.0,155.0,51,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,51,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,24.0,22.0,,,,51,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,17.0,17.0,9.0,51,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,24.0,22.0,17.0,17.0,9.0,51,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,51,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,51,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,51,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,51,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,51,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,51,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,51,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,51,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,51,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,51,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,0.0,51,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,51,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,51,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,14.0,13.0,13.0,10.0,7.0,51,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,270.0,270.0,270.0,270.0,270.0,51,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,52,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,52,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,52,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,52,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,52,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,52,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,52,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,52,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,52,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,1.0,,1.0,,52,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,1.0,,1.0,,52,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,52,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,7.0,,,,,52,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,7.0,,,,,52,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,52,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,0.0,52,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,0.0,52,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,52,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,0.0,,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,52,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,52,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,0.0,,,,52,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,52,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,8.0,8.0,7.0,8.0,7.0,52,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,8.0,8.0,7.0,8.0,7.0,52,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,52,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,123.0,129.0,,,,52,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,139.0,126.0,98.0,52,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,123.0,129.0,139.0,126.0,98.0,52,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,52,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,92.0,93.0,,,,52,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,93.0,94.0,139.0,52,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,92.0,93.0,93.0,94.0,139.0,52,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,52,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,29.0,28.0,,,,52,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,22.0,19.0,11.0,52,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,29.0,28.0,22.0,19.0,11.0,52,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,52,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,1.0,,,,52,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,1.0,,,,52,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,52,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,52,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,52,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,52,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,52,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,52,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,52,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,1.0,,,,52,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,1.0,,,,52,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,52,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,52,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,52,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,0.0,0.0,0.0,0.0,0.0,52,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,52,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,52,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,8.0,6.0,6.0,19.0,13.0,52,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,268.0,268.0,268.0,268.0,268.0,52,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,53,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,53,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,53,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,53,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,53,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,53,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,53,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,1.0,,,,,53,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,1.0,,,,,53,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,53,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,53,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,53,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,53,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,1.0,,1.0,,53,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,1.0,,1.0,,53,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,53,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,8.0,,,,,53,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,8.0,,,,,53,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,53,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,0.0,0.0,0.0,1.0,53,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,0.0,0.0,0.0,1.0,53,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,53,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,1.0,,,,,53,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,1.0,1.0,,53,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,1.0,,1.0,1.0,,53,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,53,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,53,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,0.0,0.0,,53,ELECCIONES PASO 11/08/2019,638
29,,TOTAL FRENTE PATRIOTA,0.0,0.0,0.0,0.0,,53,ELECCIONES PASO 11/08/2019,638
30,133,FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,,,,,,53,ELECCIONES PASO 11/08/2019,638
31,133,LISTA-UNIDAD,10.0,16.0,10.0,12.0,7.0,53,ELECCIONES PASO 11/08/2019,638
32,,TOTAL FTE DE IZQUIERDA Y DE TRABAJ-UNIDAD,10.0,16.0,10.0,12.0,7.0,53,ELECCIONES PASO 11/08/2019,638
33,135,JUNTOS POR EL CAMBIO,,,,,,53,ELECCIONES PASO 11/08/2019,638
34,135,LISTA A-JUNTOS SOMOS EL CAMBIO,145.0,149.0,,,,53,ELECCIONES PASO 11/08/2019,638
35,135,LISTA 1A-AMARILLO,,,154.0,147.0,118.0,53,ELECCIONES PASO 11/08/2019,638
36,,TOTAL JUNTOS POR EL CAMBIO,145.0,149.0,154.0,147.0,118.0,53,ELECCIONES PASO 11/08/2019,638
37,136/503,FRENTE DE TODOS,,,,,,53,ELECCIONES PASO 11/08/2019,638
38,136/503,LISTA A CELESTE Y BLANCA,90.0,84.0,,,,53,ELECCIONES PASO 11/08/2019,638
39,136/503,LISTA CELESTE Y BLANCA-2,,,88.0,86.0,142.0,53,ELECCIONES PASO 11/08/2019,638
40,,TOTAL FRENTE DE TODOS,90.0,84.0,88.0,86.0,142.0,53,ELECCIONES PASO 11/08/2019,638
41,137,CONSENSO FEDERAL,,,,,,53,ELECCIONES PASO 11/08/2019,638
42,137,A-CONSENSO PARA EL FUTURO,20.0,17.0,,,,53,ELECCIONES PASO 11/08/2019,638
43,137,HAY CONSENSO,,,15.0,15.0,8.0,53,ELECCIONES PASO 11/08/2019,638
44,,TOTAL CONSENSO FEDERAL,20.0,17.0,15.0,15.0,8.0,53,ELECCIONES PASO 11/08/2019,638
45,207,PARTIDO HUMANISTA,,,,,,53,ELECCIONES PASO 11/08/2019,638
46,207,LISTA A-NARANJA,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
47,,TOTAL PARTIDO HUMANISTA,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
48,244,PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,,,53,ELECCIONES PASO 11/08/2019,638
49,244,LISTA LEALTAD,,,,0.0,,53,ELECCIONES PASO 11/08/2019,638
50,,TOTAL PARTIDO LEALTAD Y DIGNIDAD DE BS. AS.,,,,0.0,,53,ELECCIONES PASO 11/08/2019,638
51,309,MOV. DE ORGANIZACION DEMOCRATICA-MODE,,,,,,53,ELECCIONES PASO 11/08/2019,638
52,309,LISTA COMPROMISO CIUDADANO,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
53,309,LISTA AZUL Y BLANCO,,,0.0,0.0,,53,ELECCIONES PASO 11/08/2019,638
54,,TOTAL MOV. DE ORGANIZACION DEMOCRATICA-MODE,,0.0,0.0,0.0,,53,ELECCIONES PASO 11/08/2019,638
55,314,PARTIDO REPUBLICANO FEDERAL,,,,,,53,ELECCIONES PASO 11/08/2019,638
56,314,LISTA A CELESTE Y BLANCO,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
57,,TOTAL PARTIDO REPUBLICANO FEDERAL,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
58,315,MORAL Y PROGRESO,,,,,,53,ELECCIONES PASO 11/08/2019,638
59,315,LISTA ESPERANZA,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
60,,TOTAL MORAL Y PROGRESO,,0.0,,,,53,ELECCIONES PASO 11/08/2019,638
61,,VOTOS NULOS,3.0,3.0,3.0,3.0,3.0,53,ELECCIONES PASO 11/08/2019,638
62,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,0.0,53,ELECCIONES PASO 11/08/2019,638
63,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,0.0,53,ELECCIONES PASO 11/08/2019,638
64,,VOTOS EN BLANCO,9.0,17.0,16.0,22.0,9.0,53,ELECCIONES PASO 11/08/2019,638
65,,TOTALES,288.0,288.0,288.0,288.0,288.0,53,ELECCIONES PASO 11/08/2019,638
0,13,MOVIMIENTO AL SOCIALISMO-MAS,,,,,,54,ELECCIONES PASO 11/08/2019,638
1,13,LISTA 1A - UNIDAD DE LA IZQUIERDA,1.0,,,,,54,ELECCIONES PASO 11/08/2019,638
2,,TOTAL MOVIMIENTO AL SOCIALISMO-MAS,1.0,,,,,54,ELECCIONES PASO 11/08/2019,638
3,276,MOVIMIENTO DE AVANZADA SOCIALISTA,,,,,,54,ELECCIONES PASO 11/08/2019,638
4,276,LISTA 1A UNIDAD DE LA IZQUIERDA,,1.0,1.0,1.0,,54,ELECCIONES PASO 11/08/2019,638
5,,TOTAL MOVIMIENTO DE AVANZADA SOCIALISTA,,1.0,1.0,1.0,,54,ELECCIONES PASO 11/08/2019,638
6,36,PARTIDO AUTONOMISTA,,,,,,54,ELECCIONES PASO 11/08/2019,638
7,36,VALORES Y EXPERIENCIA,0.0,,,,,54,ELECCIONES PASO 11/08/2019,638
8,,TOTAL PARTIDO AUTONOMISTA,0.0,,,,,54,ELECCIONES PASO 11/08/2019,638
9,57,MOVIMIENTO ACCION VECINAL,,,,,,54,ELECCIONES PASO 11/08/2019,638
10,57,COMPROMISO VECINAL-A,0.0,,,,,54,ELECCIONES PASO 11/08/2019,638
11,,TOTAL MOVIMIENTO ACCION VECINAL,0.0,,,,,54,ELECCIONES PASO 11/08/2019,638
12,79,PARTIDO RENOVADOR FEDERAL,,,,,,54,ELECCIONES PASO 11/08/2019,638
13,79,SOMOS RENOVADORES,,0.0,,0.0,,54,ELECCIONES PASO 11/08/2019,638
14,,TOTAL PARTIDO RENOVADOR FEDERAL,,0.0,,0.0,,54,ELECCIONES PASO 11/08/2019,638
15,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,,,,,54,ELECCIONES PASO 11/08/2019,638
16,87,LISTA A-DESPERTAR,7.0,,,,,54,ELECCIONES PASO 11/08/2019,638
17,,TOTAL UNITE POR LA LIBERTAD Y LA DIGNIDAD,7.0,,,,,54,ELECCIONES PASO 11/08/2019,638
18,88/816,PARTIDO DIGNIDAD POPULAR,,,,,,54,ELECCIONES PASO 11/08/2019,638
19,88/816,LISTA 1A-POR LA VIDA,,1.0,1.0,1.0,1.0,54,ELECCIONES PASO 11/08/2019,638
20,,TOTAL PARTIDO DIGNIDAD POPULAR,,1.0,1.0,1.0,1.0,54,ELECCIONES PASO 11/08/2019,638
21,131/1911,FRENTE NOS,,,,,,54,ELECCIONES PASO 11/08/2019,638
22,131/1911,LISTA A-CELESTE 2019,2.0,,,,,54,ELECCIONES PASO 11/08/2019,638
23,131/1911,LINEA UNICA,,,2.0,2.0,,54,ELECCIONES PASO 11/08/2019,638
24,,TOTAL FRENTE NOS,2.0,,2.0,2.0,,54,ELECCIONES PASO 11/08/2019,638
25,132,FRENTE PATRIOTA,,,,,,54,ELECCIONES PASO 11/08/2019,638
26,132/,LISTA A-CELESTE,0.0,,,,,54,ELECCIONES PASO 11/08/2019,638
27,312/,LISTA CELESTE,,0.0,,,,54,ELECCIONES PASO 11/08/2019,638
28,865,LISTA LEALTAD,,,0.0,0.0,,54,ELECCIONES PASO 11/08/2019,638
