,NRO,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
0,8,PARTIDO FEDERAL,,,,,1,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,1,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,1,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,1,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,1,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,0.0,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,1,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,1,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,1,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,1,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,34.0,32.0,32.0,31.0,1,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,34.0,32.0,32.0,31.0,1,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,1,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,0.0,0.0,,,1,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,1,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,1,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,52.0,51.0,,,1,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,51.0,53.0,1,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,52.0,51.0,51.0,53.0,1,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,1,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,0.0,1.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,0.0,1.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,1,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,1.0,1.0,,,1,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,1,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,1.0,1.0,,,1,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,1,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,0.0,,,1,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,1,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,0.0,0.0,,1,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,1,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,2.0,2.0,,,1,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,1,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,2.0,2.0,1,ELECCIONES PASO 13/08/2017,638
60,,TOTAL PARTIDO RENOVADOR FEDERAL,,,2.0,2.0,1,ELECCIONES PASO 13/08/2017,638
61,508,CAMBIEMOS BUENOS AIRES,,,,,1,ELECCIONES PASO 13/08/2017,638
62,,LISTA CAMBIANDO JUNTOS,139.0,141.0,,,1,ELECCIONES PASO 13/08/2017,638
63,,LISTA 1A AMARILLO,,,142.0,138.0,1,ELECCIONES PASO 13/08/2017,638
64,,TOTAL CAMBIEMOS BUENOS AIRES,139.0,141.0,142.0,138.0,1,ELECCIONES PASO 13/08/2017,638
65,509,FRENTE JUSTICIALISTA,,,,,1,ELECCIONES PASO 13/08/2017,638
66,,LISTA CUMPLIR,10.0,10.0,,,1,ELECCIONES PASO 13/08/2017,638
67,,LISTA CUMPLIR 2,,,10.0,9.0,1,ELECCIONES PASO 13/08/2017,638
68,,LISTA CUMPLIR 4,,,,3.0,1,ELECCIONES PASO 13/08/2017,638
69,,TOTAL FRENTE JUSTICIALISTA,10.0,10.0,10.0,12.0,1,ELECCIONES PASO 13/08/2017,638
70,510,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,,,,,1,ELECCIONES PASO 13/08/2017,638
71,,LISTA 1,7.0,7.0,7.0,6.0,1,ELECCIONES PASO 13/08/2017,638
72,,TOTAL FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,7.0,7.0,6.0,1,ELECCIONES PASO 13/08/2017,638
73,1902,FRENTE UNION FEDERAL,,,,,1,ELECCIONES PASO 13/08/2017,638
74,,L.AUTOCTONO,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
75,,L.DIGNIDAD POPULAR,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
76,,L.FRENTE UNION FEDERAL,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
77,,L.PRIMERA DAMA DEL PUEBLO,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
78,,L.LABORISTA,,,1.0,,1,ELECCIONES PASO 13/08/2017,638
79,,L.POPULAR,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
80,,L.RENOVACION FEDERAL,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
81,,L.TRES BANDERAS,,,0.0,,1,ELECCIONES PASO 13/08/2017,638
82,,TOTAL FRENTE UNION FEDERAL,,,1.0,,1,ELECCIONES PASO 13/08/2017,638
83,738,MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,,1,ELECCIONES PASO 13/08/2017,638
84,,LISTA VECINOS POR MERCEDES,,,,1.0,1,ELECCIONES PASO 13/08/2017,638
85,,TOTAL MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,1.0,1,ELECCIONES PASO 13/08/2017,638
86,829,"AGRUP. 25 DE MAYO ""MERCEDES""",,,,,1,ELECCIONES PASO 13/08/2017,638
87,,LISTA 25 DE MAYO,,,,3.0,1,ELECCIONES PASO 13/08/2017,638
88,,"TOTAL AGRUP. 25 DE MAYO ""MERCEDES""",,,,3.0,1,ELECCIONES PASO 13/08/2017,638
89,,VOTOS NULOS,3.0,2.0,2.0,5.0,1,ELECCIONES PASO 13/08/2017,638
90,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,1,ELECCIONES PASO 13/08/2017,638
91,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,1,ELECCIONES PASO 13/08/2017,638
92,,VOTOS EN BLANCO,8.0,9.0,11.0,7.0,1,ELECCIONES PASO 13/08/2017,638
93,,TOTALES,258.0,258.0,258.0,258.0,1,ELECCIONES PASO 13/08/2017,638
0,8,PARTIDO FEDERAL,,,,,2,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,1.0,1.0,,,2,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,1.0,1.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,2,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,2,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,2,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,2,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,2,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,2,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,2,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,0.0,0.0,,,2,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,2,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,51.0,44.0,41.0,35.0,2,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,51.0,44.0,41.0,35.0,2,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,2,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,1.0,1.0,,,2,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,1.0,1.0,,,2,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,2,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,1.0,,2,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,1.0,,2,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,2,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,49.0,47.0,,,2,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,48.0,50.0,2,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,49.0,47.0,48.0,50.0,2,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,2,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,0.0,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,2,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,0.0,1.0,,,2,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,1.0,,,,2,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,2,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,1.0,1.0,,,2,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,2,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,0.0,,,2,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,2,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,0.0,0.0,,2,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,2,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,2.0,2.0,,,2,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,2.0,2.0,,,2,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,2,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,1.0,0.0,2,ELECCIONES PASO 13/08/2017,638
60,,TOTAL PARTIDO RENOVADOR FEDERAL,,,1.0,0.0,2,ELECCIONES PASO 13/08/2017,638
61,508,CAMBIEMOS BUENOS AIRES,,,,,2,ELECCIONES PASO 13/08/2017,638
62,,LISTA CAMBIANDO JUNTOS,143.0,147.0,,,2,ELECCIONES PASO 13/08/2017,638
63,,LISTA 1A AMARILLO,,,149.0,150.0,2,ELECCIONES PASO 13/08/2017,638
64,,TOTAL CAMBIEMOS BUENOS AIRES,143.0,147.0,149.0,150.0,2,ELECCIONES PASO 13/08/2017,638
65,509,FRENTE JUSTICIALISTA,,,,,2,ELECCIONES PASO 13/08/2017,638
66,,LISTA CUMPLIR,15.0,13.0,,,2,ELECCIONES PASO 13/08/2017,638
67,,LISTA CUMPLIR 2,,,13.0,8.0,2,ELECCIONES PASO 13/08/2017,638
68,,LISTA CUMPLIR 4,,,,5.0,2,ELECCIONES PASO 13/08/2017,638
69,,TOTAL FRENTE JUSTICIALISTA,15.0,13.0,13.0,13.0,2,ELECCIONES PASO 13/08/2017,638
70,510,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,,,,,2,ELECCIONES PASO 13/08/2017,638
71,,LISTA 1,12.0,16.0,13.0,14.0,2,ELECCIONES PASO 13/08/2017,638
72,,TOTAL FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,16.0,13.0,14.0,2,ELECCIONES PASO 13/08/2017,638
73,1902,FRENTE UNION FEDERAL,,,,,2,ELECCIONES PASO 13/08/2017,638
74,,L.AUTOCTONO,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
75,,L.DIGNIDAD POPULAR,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
76,,L.FRENTE UNION FEDERAL,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
77,,L.PRIMERA DAMA DEL PUEBLO,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
78,,L.LABORISTA,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
79,,L.POPULAR,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
80,,L.RENOVACION FEDERAL,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
81,,L.TRES BANDERAS,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
82,,TOTAL FRENTE UNION FEDERAL,,,0.0,,2,ELECCIONES PASO 13/08/2017,638
83,738,MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,,2,ELECCIONES PASO 13/08/2017,638
84,,LISTA VECINOS POR MERCEDES,,,,7.0,2,ELECCIONES PASO 13/08/2017,638
85,,TOTAL MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,7.0,2,ELECCIONES PASO 13/08/2017,638
86,829,"AGRUP. 25 DE MAYO ""MERCEDES""",,,,,2,ELECCIONES PASO 13/08/2017,638
87,,LISTA 25 DE MAYO,,,,4.0,2,ELECCIONES PASO 13/08/2017,638
88,,"TOTAL AGRUP. 25 DE MAYO ""MERCEDES""",,,,4.0,2,ELECCIONES PASO 13/08/2017,638
89,,VOTOS NULOS,4.0,4.0,0.0,1.0,2,ELECCIONES PASO 13/08/2017,638
90,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,2,ELECCIONES PASO 13/08/2017,638
91,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,2,ELECCIONES PASO 13/08/2017,638
92,,VOTOS EN BLANCO,13.0,16.0,26.0,18.0,2,ELECCIONES PASO 13/08/2017,638
93,,TOTALES,292.0,292.0,292.0,292.0,2,ELECCIONES PASO 13/08/2017,638
0,8,PARTIDO FEDERAL,,,,,3,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,1.0,1.0,1.0,,3,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,1.0,1.0,1.0,,3,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,3,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,3,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,3,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,3,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,3,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,3,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,0.0,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,0.0,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,3,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,3,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,3,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,1.0,1.0,,,3,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,1.0,1.0,,,3,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,3,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,34.0,32.0,31.0,28.0,3,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,34.0,32.0,31.0,28.0,3,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,3,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,3,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,3,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,83.0,83.0,,,3,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,82.0,76.0,3,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,83.0,83.0,82.0,76.0,3,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,3,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,1.0,1.0,1.0,,3,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,1.0,1.0,1.0,,3,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,3,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,1.0,3.0,,,3,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,1.0,,,,3,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,3,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,3,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,1.0,,,,3,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,3,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,3.0,3.0,,,3,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,3,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,0.0,,,3,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,3,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,0.0,0.0,,3,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,3,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,0.0,0.0,,,3,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,3,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,0.0,0.0,3,ELECCIONES PASO 13/08/2017,638
60,,TOTAL PARTIDO RENOVADOR FEDERAL,,,0.0,0.0,3,ELECCIONES PASO 13/08/2017,638
61,508,CAMBIEMOS BUENOS AIRES,,,,,3,ELECCIONES PASO 13/08/2017,638
62,,LISTA CAMBIANDO JUNTOS,126.0,126.0,,,3,ELECCIONES PASO 13/08/2017,638
63,,LISTA 1A AMARILLO,,,128.0,126.0,3,ELECCIONES PASO 13/08/2017,638
64,,TOTAL CAMBIEMOS BUENOS AIRES,126.0,126.0,128.0,126.0,3,ELECCIONES PASO 13/08/2017,638
65,509,FRENTE JUSTICIALISTA,,,,,3,ELECCIONES PASO 13/08/2017,638
66,,LISTA CUMPLIR,11.0,11.0,,,3,ELECCIONES PASO 13/08/2017,638
67,,LISTA CUMPLIR 2,,,11.0,10.0,3,ELECCIONES PASO 13/08/2017,638
68,,LISTA CUMPLIR 4,,,,6.0,3,ELECCIONES PASO 13/08/2017,638
69,,TOTAL FRENTE JUSTICIALISTA,11.0,11.0,11.0,16.0,3,ELECCIONES PASO 13/08/2017,638
70,510,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,,,,,3,ELECCIONES PASO 13/08/2017,638
71,,LISTA 1,11.0,11.0,11.0,11.0,3,ELECCIONES PASO 13/08/2017,638
72,,TOTAL FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,11.0,3,ELECCIONES PASO 13/08/2017,638
73,1902,FRENTE UNION FEDERAL,,,,,3,ELECCIONES PASO 13/08/2017,638
74,,L.AUTOCTONO,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
75,,L.DIGNIDAD POPULAR,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
76,,L.FRENTE UNION FEDERAL,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
