,NRO,AGRUPACION POLITICA,PRESIDENTE Y VICE,PARLAMENTARIO MERCOSUR (DN),mesa,eleciones,circuito
1,132.0,ALIANZA PROGRESISTAS,9,5,25,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,25,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,134,130,25,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,6,25,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,45,37,25,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,17,25,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,25,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,25,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,1,1,25,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,286,286,25,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,67,66,26,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,8,26,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,6,6,26,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,142,139,26,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,10,26,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,49,37,26,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,21,26,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,26,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,26,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,26,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,287,287,26,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,78,71,27,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,9,27,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,27,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,130,132,27,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,14,27,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,57,42,27,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,21,27,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,27,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,27,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,27,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,293,293,27,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,83,85,28,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,8,28,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,3,28,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,123,120,28,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,12,28,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,60,49,28,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,13,28,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,28,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,28,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,28,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,291,291,28,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,71,71,29,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,9,29,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,29,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,143,138,29,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,11,29,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,49,39,29,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,19,29,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,29,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,29,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,29,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,29,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,78,74,30,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,6,30,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,3,30,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,160,160,30,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,7,30,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,37,32,30,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,2,11,30,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,30,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,30,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,30,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,294,294,30,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,71,70,31,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,7,31,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,31,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,131,124,31,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,10,31,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,54,43,31,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,22,31,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,1,31,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,31,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,31,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,282,282,31,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,75,74,32,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,0,32,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,4,32,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,120,114,32,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,14,15,32,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,50,38,32,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,25,32,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,32,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,32,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,32,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,270,270,32,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,67,63,33,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,11,33,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,2,33,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,141,134,33,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,8,33,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,64,47,33,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,23,33,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,33,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,33,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,33,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,33,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,81,81,34,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,9,10,34,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,34,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,126,126,34,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,10,34,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,56,46,34,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,16,34,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,0,34,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,34,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,34,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,290,290,34,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,62,64,35,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,7,35,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,2,35,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,154,150,35,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,3,4,35,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,56,44,35,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,14,35,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,1,35,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,35,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,35,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,286,286,35,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,69,71,36,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,8,5,36,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,2,36,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,136,130,36,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,15,14,36,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,49,43,36,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,22,36,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,2,36,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,36,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,36,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,289,289,36,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,66,68,37,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,5,4,37,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,1,37,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,142,140,37,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,6,8,37,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,74,58,37,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,18,37,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,37,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,37,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,37,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,300,300,37,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,104,101,38,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,3,38,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,3,38,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,106,109,38,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,11,38,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,53,42,38,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,14,38,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,38,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,38,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,38,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,283,283,38,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,74,74,39,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,13,7,39,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,39,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,126,126,39,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,13,13,39,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,48,40,39,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,19,39,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,39,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,39,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,39,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,283,283,39,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,80,79,40,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,11,12,40,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,40,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,115,112,40,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,10,40,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,70,57,40,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,8,23,40,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,3,3,40,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,40,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,40,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,301,301,40,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,79,81,41,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,8,41,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,3,41,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,134,129,41,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,5,8,41,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,46,39,41,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,14,41,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,41,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,41,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,1,1,41,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,284,284,41,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,82,84,42,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,3,4,42,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,3,1,42,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,125,122,42,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,10,42,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,56,51,42,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,13,42,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,42,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,42,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,42,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,285,285,42,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,68,68,43,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,4,2,43,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,0,43,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,138,136,43,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,8,43,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,65,59,43,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,6,16,43,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,43,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,43,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,43,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,290,290,43,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,72,72,44,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,4,44,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,44,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,125,127,44,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,10,44,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,68,52,44,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,4,22,44,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,1,44,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,44,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,44,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,292,292,44,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,83,79,45,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,7,7,45,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,2,1,45,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,123,129,45,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,7,7,45,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,59,43,45,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,1,16,45,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,1,1,45,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,45,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,45,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,283,283,45,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,93,89,46,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,8,46,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,1,1,46,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,117,120,46,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,10,10,46,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,45,36,46,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,3,15,46,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,2,46,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,46,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,46,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,281,281,46,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,69,73,47,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,6,7,47,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,5,47,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,134,132,47,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,4,4,47,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,70,53,47,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,5,19,47,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,2,2,47,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,47,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,47,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,295,295,47,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,59,57,48,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,10,12,48,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,5,3,48,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,148,146,48,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,11,13,48,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,62,46,48,ELECCIONES GENERALES 25/10/2015,638
6,,VOTOS EN BLANCO,2,20,48,ELECCIONES GENERALES 25/10/2015,638
7,,VOTOS NULOS,0,0,48,ELECCIONES GENERALES 25/10/2015,638
8,,VOTOS RECURRIDOS,0,0,48,ELECCIONES GENERALES 25/10/2015,638
9,,VOTOS IMPUGNADOS,0,0,48,ELECCIONES GENERALES 25/10/2015,638
10,,TOTALES,297,297,48,ELECCIONES GENERALES 25/10/2015,638
0,131.0,ALIANZA FRENTE PARA LA VICTORIA,80,78,49,ELECCIONES GENERALES 25/10/2015,638
1,132.0,ALIANZA PROGRESISTAS,3,2,49,ELECCIONES GENERALES 25/10/2015,638
2,133.0,ALIANZA COMPROMISO FEDERAL,4,4,49,ELECCIONES GENERALES 25/10/2015,638
3,135.0,ALIANZA CAMBIEMOS BUENOS AIRES,116,120,49,ELECCIONES GENERALES 25/10/2015,638
4,137.0,AZA.FTE.DE IZQUIERDA Y DE LOS TRABAJ.,9,9,49,ELECCIONES GENERALES 25/10/2015,638
5,138.0,AZA.UNA-UNIDOS POR UNA NVA. ALTERNATIVA,67,50,49,ELECCIONES GENERALES 25/10/2015,638
