,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
1,503.0,,UNIDAD CIUDADANA,58.0,55.0,55.0,59,21,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,196.0,196.0,196.0,193,21,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,7.0,7.0,6.0,7,21,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,14.0,14.0,12,21,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,21,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,21,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,21,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,1.0,1.0,1.0,1,21,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,1.0,5.0,6.0,6,21,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,293.0,293.0,293.0,293,21,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,23.0,22.0,17,22,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,81.0,79.0,81.0,83,22,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,145.0,147.0,146.0,146,22,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,13.0,12.0,13,22,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,13.0,13.0,11,22,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,22,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,3,22,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,22,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,22,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,6.0,7.0,6,22,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,281.0,281.0,281.0,281,22,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,30.0,33.0,29.0,23,23,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,63.0,57.0,59.0,70,23,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,159.0,160.0,158.0,159,23,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,18.0,17.0,19.0,18,23,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,14.0,14.0,9,23,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,23,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,1,23,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,23,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,23,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,5.0,7.0,5,23,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,288.0,288.0,288.0,288,23,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,18.0,17.0,17.0,13,24,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,49.0,48.0,49.0,56,24,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,183.0,183.0,184.0,181,24,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,12.0,11.0,13,24,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,7.0,9.0,8.0,5,24,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,24,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,24,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,24,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,24,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,6.0,6.0,5,24,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,277.0,277.0,277.0,277,24,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,25.0,23.0,21,25,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,61.0,58.0,59.0,63,25,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,165.0,166.0,166.0,165,25,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,12.0,10.0,10.0,13,25,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,15.0,13.0,11,25,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,25,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,25,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,25,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,25,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,8.0,11.0,8,25,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,285.0,285.0,285.0,285,25,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,26.0,23.0,21.0,20,26,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,55.0,56.0,56.0,61,26,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,171.0,172.0,173.0,166,26,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,13.0,12.0,11.0,13,26,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,14.0,15.0,14.0,14,26,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,26,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,6.0,6.0,6.0,6,26,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,26,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,26,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,2.0,3.0,6.0,6,26,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,287.0,287.0,287.0,287,26,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,29.0,29.0,28.0,20,27,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,54.0,54.0,54.0,62,27,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,179.0,180.0,179.0,181,27,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,10.0,11.0,13,27,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,10.0,10.0,6,27,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,27,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,27,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,27,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,27,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,7.0,8.0,6,27,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,292.0,292.0,292.0,292,27,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,29.0,28.0,27.0,23,28,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,59.0,59.0,59.0,66,28,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,165.0,168.0,170.0,161,28,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,16.0,15.0,14.0,16,28,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,15.0,14.0,13.0,13,28,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,28,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,3.0,3.0,3.0,3,28,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,28,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,28,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,0.0,0.0,1.0,4,28,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,287.0,287.0,287.0,287,28,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,16.0,14.0,14.0,16,29,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,72.0,69.0,69.0,76,29,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,156.0,159.0,159.0,155,29,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,14.0,13.0,12,29,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,10.0,11.0,10,29,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,29,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,5.0,5.0,5.0,5,29,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,29,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,29,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,9.0,10.0,10.0,5,29,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,281.0,281.0,281.0,281,29,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,22.0,22.0,22.0,18,30,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,58.0,59.0,60.0,65,30,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,181.0,182.0,181.0,176,30,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,16.0,16.0,18,30,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,11.0,11.0,11,30,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,30,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,4,30,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,30,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,30,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,3.0,3.0,1,30,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,295.0,295.0,295.0,295,30,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,23.0,20.0,14,31,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,67.0,65.0,66.0,79,31,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,156.0,155.0,154.0,149,31,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,10.0,11.0,8,31,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,16.0,16.0,16.0,15,31,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,6,31,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,31,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,31,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,31,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,10.0,12.0,8,31,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,281.0,281.0,281.0,281,31,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,26.0,21,32,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,66.0,62.0,62.0,61,32,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,152.0,152.0,152.0,151,32,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,14.0,14.0,15,32,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,6.0,6.0,8.0,11,32,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,32,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,32,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,32,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,32,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,9.0,8.0,6,32,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,32,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,22.0,22.0,19,33,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,67.0,66.0,66.0,69,33,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,151.0,153.0,153.0,149,33,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,15.0,14.0,13,33,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,20.0,19.0,19.0,17,33,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,5,33,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,1,33,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,33,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,33,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,1.0,6.0,7.0,8,33,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,281.0,281.0,281.0,281,33,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,15.0,14.0,15.0,11,34,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,61.0,60.0,60.0,67,34,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,182.0,183.0,183.0,178,34,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,10.0,10.0,12,34,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,5.0,8.0,7.0,3,34,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,34,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,34,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,34,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,34,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,3.0,3.0,6,34,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,278.0,278.0,278.0,278,34,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,18.0,18.0,19.0,18,35,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,50.0,50.0,49.0,57,35,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,179.0,178.0,179.0,176,35,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,17.0,18.0,17.0,14,35,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,18.0,16.0,17.0,16,35,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,35,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,6.0,5.0,4.0,3,35,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,35,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,35,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,3.0,6.0,6.0,4,35,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,291.0,291.0,291.0,291,35,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,31.0,31.0,29.0,24,36,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,54.0,53.0,53.0,57,36,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,170.0,171.0,171.0,171,36,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,16.0,16.0,16.0,18,36,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,13.0,13.0,13.0,12,36,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,36,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,8.0,8.0,7.0,7,36,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,36,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,36,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,5.0,8.0,5,36,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,297.0,297.0,297.0,297,36,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,29.0,31.0,31.0,21,37,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,70.0,65.0,66.0,77,37,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,142.0,146.0,143.0,141,37,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,14.0,11.0,11.0,12,37,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,9,37,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,37,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,2.0,2.0,2.0,2,37,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,37,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,37,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,2.0,4.0,6.0,6,37,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,37,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,24.0,24.0,25.0,19,38,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,57.0,56.0,58.0,66,38,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,152.0,154.0,152.0,152,38,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,22.0,18.0,17.0,12,38,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,13.0,12.0,14,38,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,38,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,38,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,38,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,38,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,9.0,9.0,10.0,7,38,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,274.0,274.0,274.0,274,38,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,30.0,31.0,32.0,32,39,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,66.0,63.0,63.0,67,39,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,152.0,155.0,154.0,150,39,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,11.0,8.0,8.0,9,39,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,14.0,14.0,12,39,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,39,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,39,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,39,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,39,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,7.0,7.0,7.0,5,39,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,278.0,278.0,278.0,278,39,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,27.0,23,40,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,57.0,57.0,57.0,60,40,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,163.0,165.0,163.0,160,40,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,7.0,5.0,6.0,8,40,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,11.0,11.0,12,40,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,2,40,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,1.0,1.0,1.0,1,40,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,40,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,40,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,4.0,4.0,5.0,4,40,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,270.0,270.0,270.0,270,40,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,21.0,19.0,18.0,12,41,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,61.0,61.0,61.0,61,41,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,160.0,160.0,160.0,165,41,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,9.0,8.0,8.0,10,41,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,10.0,10.0,10.0,10,41,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,1,41,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,0.0,0.0,0.0,0,41,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,41,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,41,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,8.0,9.0,7,41,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,266.0,266.0,266.0,266,41,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,28.0,27.0,26.0,24,42,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,52.0,51.0,51.0,55,42,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,171.0,171.0,172.0,171,42,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,19.0,19.0,19.0,18,42,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,4.0,5.0,5.0,8,42,ELECCIONES GENERALES 22/10/2017,638
