,NRO,NRO.1,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
2,508.0,,CAMBIEMOS BUENOS AIRES,169.0,171.0,171.0,174,5,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,10.0,8.0,6,5,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,12.0,13.0,13.0,12,5,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,3,5,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,4.0,3.0,3.0,3,5,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,5,ELECCIONES GENERALES 22/10/2017,638
8,,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0,5,ELECCIONES GENERALES 22/10/2017,638
9,,,VOTOS EN BLANCO,5.0,11.0,7.0,8,5,ELECCIONES GENERALES 22/10/2017,638
10,,,TOTALES,275.0,275.0,275.0,275,5,ELECCIONES GENERALES 22/10/2017,638
0,501.0,,1PAIS,32.0,27.0,27.0,20,6,ELECCIONES GENERALES 22/10/2017,638
1,503.0,,UNIDAD CIUDADANA,55.0,54.0,54.0,56,6,ELECCIONES GENERALES 22/10/2017,638
2,508.0,,CAMBIEMOS BUENOS AIRES,169.0,174.0,173.0,176,6,ELECCIONES GENERALES 22/10/2017,638
3,509.0,,FRENTE JUSTICIALISTA-CUMPLIR,10.0,7.0,8.0,11,6,ELECCIONES GENERALES 22/10/2017,638
4,510.0,,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,9.0,12.0,11.0,7,6,ELECCIONES GENERALES 22/10/2017,638
5,738.0,,MERCEDES INDEPENDIENTE COMUNAL MIC,,,,4,6,ELECCIONES GENERALES 22/10/2017,638
6,,,VOTOS NULOS,6.0,6.0,6.0,6,6,ELECCIONES GENERALES 22/10/2017,638
7,,,VOTOS RECURRIDOS,0.0,0.0,0.0,0,6,ELECCIONES GENERALES 22/10/2017,638
